Species,Mo_since_burn_grouped,Count
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Halictus ligatus/poeyi,11 to 15,1
Melissodes communis,11 to 15,1
Bombus griseocollis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes trinodis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Halictus ligatus/poeyi,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes tepaneca,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes trinodis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes tepaneca,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Halictus ligatus/poeyi,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Halictus rubicundus,11 to 15,1
Melissodes tepaneca,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes tepaneca,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Lasioglossum 2,11 to 15,1
Melissodes trinodis,11 to 15,1
Bombus pensylvanicus,11 to 15,1
Lasioglossum 1,11 to 15,1
Lasioglossum sp.,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes tepaneca,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes trinodis,11 to 15,1
Bombus bimaculatus,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes trinodis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes bimaculata,11 to 15,1
Ptilothrix  bombiformis,11 to 15,1
Ceratina dupla,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes agilis,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes trinodis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes bimaculata,11 to 15,1
Melissodes communis,11 to 15,1
Melissodes agilis,11 to 15,1
Lasioglossum 3,11 to 15,1
Bombus pensylvanicus,16 to 20,1
Melissodes bimaculata,16 to 20,1
Halictus ligatus/poeyi,16 to 20,1
Melissodes bimaculata,16 to 20,1
Melissodes bimaculata,16 to 20,1
Melissodes bimaculata,16 to 20,1
Melissodes communis,16 to 20,1
Melissodes communis,16 to 20,1
Melissodes bimaculata,16 to 20,1
